iter	Passed	Remaining
0	3	320
1	5	256
2	6	224
3	10	251
4	12	236
5	14	222
6	15	207
7	16	194
8	17	181
9	19	172
10	20	164
11	21	157
12	23	156
13	25	155
14	27	153
15	28	150
16	29	146
17	31	142
18	32	138
19	33	134
20	34	130
21	35	126
22	36	122
23	39	125
24	43	131
25	45	129
26	46	125
27	47	122
28	48	118
29	49	115
30	50	112
31	51	109
32	54	109
33	55	108
34	57	106
35	58	103
36	59	100
37	60	98
38	61	95
39	62	93
40	63	91
41	63	88
42	64	86
43	65	83
44	68	83
45	71	83
46	73	82
47	74	80
48	75	78
49	76	76
50	77	74
51	78	72
52	79	70
53	80	68
54	80	66
55	81	64
56	85	64
57	87	63
58	88	61
59	89	59
60	90	57
61	91	55
62	92	54
63	93	52
64	94	50
65	95	48
66	96	47
67	98	46
68	100	45
69	101	43
70	102	41
71	104	40
72	105	38
73	106	37
74	107	35
75	108	34
76	109	32
77	109	31
78	110	29
79	113	28
80	115	27
81	116	25
82	117	24
83	118	22
84	119	21
85	120	19
86	121	18
87	122	16
88	123	15
89	124	13
90	125	12
91	127	11
92	129	9
93	131	8
94	132	6
95	133	5
96	134	4
97	135	2
98	136	1
99	137	0
